iter	RMSE
284	8385.266674
285	8375.09662
286	8370.374757
287	8363.616147
288	8356.754508
289	8347.48782
290	8335.401896
291	8324.762143
292	8315.869277
293	8308.688959
294	8298.75076
295	8290.383387
296	8283.031023
297	8276.789168
298	8268.625959
299	8261.137624
300	8252.434297
301	8246.128956
302	8235.416984
303	8228.255863
304	8215.536538
305	8209.475051
306	8199.761059
307	8199.567227
308	8191.087745
309	8181.575475
310	8175.330633
311	8169.411234
312	8160.858407
313	8150.662191
314	8142.693097
315	8134.376738
316	8127.90108
317	8119.755147
318	8114.40933
319	8104.024081
320	8097.265451
321	8092.114071
322	8084.144721
323	8080.047772
324	8072.281538
325	8061.970897
326	8055.759138
327	8050.712457
328	8044.669987
329	8034.635452
330	8030.247377
331	8025.585332
332	8018.695915
333	8012.277568
334	8006.002869
335	8000.95619
336	7991.55948
337	7988.075672
338	7979.708369
339	7971.545976
340	7963.146346
341	7957.808891
342	7956.509704
343	7948.516237
344	7939.8114
345	7932.59872
346	7925.58153
347	7921.023852
348	7913.319483
349	7909.313547
350	7906.238759
351	7899.193417
352	7891.220785
353	7883.724395
354	7878.393319
355	7870.624258
356	7863.898707
357	7855.814366
358	7851.588829
359	7842.003783
360	7834.866654
361	7827.359454
362	7821.486432
363	7817.12067
364	7808.603172
365	7805.168597
366	7798.272021
367	7790.351456
368	7785.044714
369	7780.064351
370	7776.219055
371	7772.652534
372	7771.173124
373	7764.728643
374	7759.008147
375	7756.415636
376	7753.133148
377	7748.742921
378	7742.192818
379	7734.846375
380	7728.431313
381	7718.814602
382	7712.04376
383	7706.891009
384	7698.930497
385	7694.134755
386	7687.882155
387	7681.964788
388	7677.806355
389	7670.920067
390	7663.917974
391	7659.480969
392	7655.576661
393	7652.086174
394	7647.683449
395	7644.2811
396	7637.39257
397	7633.086859
398	7628.532567
399	7619.301182
400	7614.474908
401	7611.45282
402	7607.152774
403	7602.097067
404	7597.213537
405	7589.494103
406	7586.232605
407	7582.001505
408	7577.893849
409	7569.47251
410	7566.025286
411	7562.981129
412	7560.928647
413	7553.643037
414	7545.759464
415	7538.049622
416	7534.570743
417	7529.796039
418	7526.632786
419	7522.23341
420	7514.163433
421	7505.901926
422	7497.15139
423	7489.652686
424	7481.748775
425	7476.94962
426	7473.530457
427	7468.631781
428	7463.128236
429	7456.909906
430	7449.169939
431	7446.885812
432	7443.564806
433	7435.976252
434	7431.571817
435	7428.674476
436	7421.764939
437	7415.655171
438	7413.385159
439	7411.077209
440	7406.187234
441	7403.443783
442	7399.331778
443	7394.224896
444	7388.329703
445	7383.881406
446	7377.998218
447	7374.502893
448	7368.150497
449	7365.484382
450	7361.241576
451	7360.024428
452	7358.482952
453	7352.778665
454	7345.832207
455	7342.975418
456	7341.588909
457	7333.705995
458	7331.609966
459	7326.228945
460	7320.373213
461	7317.761003
462	7314.194803
463	7311.102148
464	7308.91929
465	7306.898343
466	7301.587873
467	7298.420844
468	7292.596807
469	7286.113432
470	7277.240286
471	7271.868825
472	7266.136577
473	7261.167967
474	7258.72262
475	7255.107239
476	7252.18405
477	7247.320416
478	7243.608239
479	7236.539966
480	7232.225408
481	7225.45617
482	7216.610428
483	7212.747393
484	7209.665487
485	7207.437659
486	7204.034141
487	7201.652922
488	7199.149873
489	7192.077147
490	7185.389335
491	7179.360327
492	7170.387448
493	7164.745166
494	7160.208813
495	7156.50951
496	7150.236588
497	7144.550927
498	7139.498625
499	7133.808267
