Year,Region,Total_Births
2017,"Bursa, Eskişehir, Bilecik-TR41",55552
2017,"Erzurum, Erzincan, Bayburt-TRA1",18794
2017,"Gaziantep, Adıyaman, Kilis-TRC1",62271
2017,"Hatay, Kahramanmaraş, Osmaniye-TR63",60066
2017,"Kastamonu, Çankırı, Sinop-TR82",8150
2017,"Kayseri, Sivas, Yozgat-TR72",36382
2017,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",57910
2017,"Konya, Karaman-TR52",39177
2017,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",22551
2017,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",26962
2017,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",40266
2017,"Mardin, Batman, Şırnak, Siirt-TRC3",57638
2017,"Samsun, Tokat, Çorum, Amasya-TR83",34021
2017,"Tekirdağ, Edirne, Kırklareli-TR21",22520
2017,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",31556
2017,"Van, Muş, Bitlis, Hakkari-TRB2",54171
2017,"Zonguldak, Karabük, Bartın-TR81",10608
2017,İstanbul-TR10,233220
2017,İzmir-TR31,53895
2017,"Şanlıurfa, Diyarbakır-TRC2",108309
2018,"Adana, Mersin-TR62",62138
2018,Ankara-TR51,73270
2018,"Antalya, Isparta, Burdur-TR61",40176
2018,"Aydın, Denizli, Muğla-TR32",37136
2018,"Ağrı, Kars, Iğdır, Ardahan-TRA2",24388
2018,"Balıkesir, Çanakkale-TR22",18144
2018,"Bursa, Eskişehir, Bilecik-TR41",54819
2018,"Erzurum, Erzincan, Bayburt-TRA1",17544
2018,"Gaziantep, Adıyaman, Kilis-TRC1",60898
2018,"Hatay, Kahramanmaraş, Osmaniye-TR63",57467
2018,"Kastamonu, Çankırı, Sinop-TR82",8207
2018,"Kayseri, Sivas, Yozgat-TR72",34544
2018,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",57378
2018,"Konya, Karaman-TR52",38164
2018,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",22025
2018,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",26125
2018,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",38899
2018,"Mardin, Batman, Şırnak, Siirt-TRC3",56879
2018,"Samsun, Tokat, Çorum, Amasya-TR83",33252
2018,"Tekirdağ, Edirne, Kırklareli-TR21",22463
2018,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",31024
2018,"Van, Muş, Bitlis, Hakkari-TRB2",51779
2018,"Zonguldak, Karabük, Bartın-TR81",10260
2018,İstanbul-TR10,223223
2018,İzmir-TR31,51617
2018,"Şanlıurfa, Diyarbakır-TRC2",105252
2019,"Adana, Mersin-TR62",58001
2019,Ankara-TR51,68684
2019,"Antalya, Isparta, Burdur-TR61",38208
2019,"Aydın, Denizli, Muğla-TR32",35004
2019,"Ağrı, Kars, Iğdır, Ardahan-TRA2",23775
2019,"Balıkesir, Çanakkale-TR22",17120
2019,"Bursa, Eskişehir, Bilecik-TR41",51714
2019,"Erzurum, Erzincan, Bayburt-TRA1",16876
2019,"Gaziantep, Adıyaman, Kilis-TRC1",57042
2019,"Hatay, Kahramanmaraş, Osmaniye-TR63",54956
2019,"Kastamonu, Çankırı, Sinop-TR82",8053
2019,"Kayseri, Sivas, Yozgat-TR72",32795
2019,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",54459
2019,"Konya, Karaman-TR52",36039
2019,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",21134
2019,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",24971
2019,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",37148
2019,"Mardin, Batman, Şırnak, Siirt-TRC3",54913
2019,"Samsun, Tokat, Çorum, Amasya-TR83",31853
2019,"Tekirdağ, Edirne, Kırklareli-TR21",21071
2019,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",29658
2019,"Van, Muş, Bitlis, Hakkari-TRB2",50846
2019,"Zonguldak, Karabük, Bartın-TR81",9723
2019,İstanbul-TR10,208685
2019,İzmir-TR31,48046
2019,"Şanlıurfa, Diyarbakır-TRC2",100935
2020,"Adana, Mersin-TR62",54484
2020,Ankara-TR51,63807
2020,"Antalya, Isparta, Burdur-TR61",36521
2020,"Aydın, Denizli, Muğla-TR32",33366
