Year,Region,Gender,Age_Group,Environment,Population
2009,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,25340.0
2009,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,22026.0
2009,"Konya, Karaman-TR52",Male,0-4,Rural,24990.0
2009,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,25299.0
2009,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,38056.0
2009,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,55500.0
2009,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,36612.0
2009,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,91068.0
2009,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,13838.0
2009,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,36308.0
2009,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,76421.0
2009,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,16907.0
2010,"Adana, Mersin-TR62",Male,0-4,Rural,24201.0
2010,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,37270.0
2010,Ankara-TR51,Male,0-4,Rural,3783.0
2010,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,30153.0
2010,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,38328.0
2010,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,16755.0
2010,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,11632.0
2010,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,19111.0
2010,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,27118.0
2010,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,68418.0
2010,İstanbul-TR10,Male,0-4,Rural,4422.0
2010,İzmir-TR31,Male,0-4,Rural,10015.0
2010,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,8729.0
2010,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,22942.0
2010,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,23638.0
2010,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,21432.0
2010,"Konya, Karaman-TR52",Male,0-4,Rural,23467.0
2010,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,24156.0
2010,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,36328.0
2010,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,53754.0
2010,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,34043.0
2010,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,92694.0
2010,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,13654.0
2010,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,34641.0
2010,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,75065.0
2010,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,16225.0
2011,"Adana, Mersin-TR62",Male,0-4,Rural,23418.0
2011,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,37071.0
2011,Ankara-TR51,Male,0-4,Rural,3627.0
2011,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,29548.0
2011,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,37526.0
