Year,Region,Rural,Urban,Total_Population
2016,"Samsun, Tokat, Çorum, Amasya-TR83",448841.0,2303962.0,2752803.0
2016,"Tekirdağ, Edirne, Kırklareli-TR21",214645.0,1511615.0,1726260.0
2016,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",380604.0,2264980.0,2645584.0
2016,"Van, Muş, Bitlis, Hakkari-TRB2",506585.0,1609144.0,2115729.0
2016,"Zonguldak, Karabük, Bartın-TR81",399663.0,632597.0,1032260.0
2016,İstanbul-TR10,0.0,14804116.0,14804116.0
2016,İzmir-TR31,0.0,4223545.0,4223545.0
2016,"Şanlıurfa, Diyarbakır-TRC2",0.0,3613746.0,3613746.0
2017,"Adana, Mersin-TR62",0.0,4010406.0,4010406.0
2017,Ankara-TR51,0.0,5445026.0,5445026.0
2017,"Antalya, Isparta, Burdur-TR61",202046.0,2860959.0,3063005.0
2017,"Aydın, Denizli, Muğla-TR32",0.0,3038325.0,3038325.0
2017,"Ağrı, Kars, Iğdır, Ardahan-TRA2",525929.0,589881.0,1115810.0
2017,"Balıkesir, Çanakkale-TR22",210631.0,1524610.0,1735241.0
2017,"Bursa, Eskişehir, Bilecik-TR41",42445.0,3976671.0,4019116.0
2017,"Erzurum, Erzincan, Bayburt-TRA1",132101.0,940303.0,1072404.0
2017,"Gaziantep, Adıyaman, Kilis-TRC1",235202.0,2521708.0,2756910.0
2017,"Hatay, Kahramanmaraş, Osmaniye-TR63",122688.0,3107885.0,3230573.0
2017,"Kastamonu, Çankırı, Sinop-TR82",280312.0,485562.0,765874.0
2017,"Kayseri, Sivas, Yozgat-TR72",306162.0,2110511.0,2416673.0
2017,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",288892.0,3516589.0,3805481.0
2017,"Konya, Karaman-TR52",64162.0,2362659.0,2426821.0
2017,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",468876.0,1091898.0,1560774.0
2017,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",256702.0,1469497.0,1726199.0
2017,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",569560.0,2496401.0,3065961.0
2017,"Mardin, Batman, Şırnak, Siirt-TRC3",428712.0,1793889.0,2222601.0
2017,"Samsun, Tokat, Çorum, Amasya-TR83",440997.0,2332389.0,2773386.0
2017,"Tekirdağ, Edirne, Kırklareli-TR21",210887.0,1557481.0,1768368.0
2017,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",364312.0,2269105.0,2633417.0
2017,"Van, Muş, Bitlis, Hakkari-TRB2",504496.0,1624174.0,2128670.0
2017,"Zonguldak, Karabük, Bartın-TR81",394281.0,640641.0,1034922.0
2017,İstanbul-TR10,0.0,15029231.0,15029231.0
2017,İzmir-TR31,0.0,4279677.0,4279677.0
2017,"Şanlıurfa, Diyarbakır-TRC2",0.0,3685654.0,3685654.0
2018,"Adana, Mersin-TR62",0.0,4034593.0,4034593.0
2018,Ankara-TR51,0.0,5503985.0,5503985.0
2018,"Antalya, Isparta, Burdur-TR61",205964.0,2931730.0,3137694.0
2018,"Aydın, Denizli, Muğla-TR32",0.0,3093015.0,3093015.0
2018,"Ağrı, Kars, Iğdır, Ardahan-TRA2",533051.0,591847.0,1124898.0
2018,"Balıkesir, Çanakkale-TR22",214636.0,1552601.0,1767237.0
2018,"Bursa, Eskişehir, Bilecik-TR41",43146.0,4046010.0,4089156.0
2018,"Erzurum, Erzincan, Bayburt-TRA1",99910.0,986246.0,1086156.0
2018,"Gaziantep, Adıyaman, Kilis-TRC1",239104.0,2556513.0,2795617.0
2018,"Hatay, Kahramanmaraş, Osmaniye-TR63",126358.0,3162764.0,3289122.0
2018,"Kastamonu, Çankırı, Sinop-TR82",325076.0,494392.0,819468.0
2018,"Kayseri, Sivas, Yozgat-TR72",330342.0,2130927.0,2461269.0
2018,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",299164.0,3579815.0,3878979.0
2018,"Konya, Karaman-TR52",65249.0,2392273.0,2457522.0
2018,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",489479.0,1114209.0,1603688.0
2018,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",312334.0,1449743.0,1762077.0
2018,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",567916.0,2532750.0,3100666.0
2018,"Mardin, Batman, Şırnak, Siirt-TRC3",429467.0,1854691.0,2284158.0
2018,"Samsun, Tokat, Çorum, Amasya-TR83",468754.0,2353599.0,2822353.0
2018,"Tekirdağ, Edirne, Kırklareli-TR21",215440.0,1586875.0,1802315.0
2018,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",472328.0,2246785.0,2719113.0
2018,"Van, Muş, Bitlis, Hakkari-TRB2",490293.0,1677349.0,2167642.0
2018,"Zonguldak, Karabük, Bartın-TR81",409374.0,637337.0,1046711.0
2018,İstanbul-TR10,0.0,15067724.0,15067724.0
2018,İzmir-TR31,0.0,4320519.0,4320519.0
2018,"Şanlıurfa, Diyarbakır-TRC2",0.0,3768205.0,3768205.0
2019,"Adana, Mersin-TR62",0.0,4078365.0,4078365.0
2019,Ankara-TR51,0.0,5639076.0,5639076.0
2019,"Antalya, Isparta, Burdur-TR61",201531.0,3025879.0,3227410.0
2019,"Aydın, Denizli, Muğla-TR32",0.0,3131322.0,3131322.0
2019,"Ağrı, Kars, Iğdır, Ardahan-TRA2",519491.0,598879.0,1118370.0
2019,"Balıkesir, Çanakkale-TR22",213421.0,1557356.0,1770777.0
2019,"Bursa, Eskişehir, Bilecik-TR41",40893.0,4122129.0,4163022.0
2019,"Erzurum, Erzincan, Bayburt-TRA1",89509.0,992143.0,1081652.0
2019,"Gaziantep, Adıyaman, Kilis-TRC1",229025.0,2609294.0,2838319.0
2019,"Hatay, Kahramanmaraş, Osmaniye-TR63",122424.0,3199331.0,3321755.0
2019,"Kastamonu, Çankırı, Sinop-TR82",286129.0,507308.0,793437.0
2019,"Kayseri, Sivas, Yozgat-TR72",309487.0,2158078.0,2467565.0
2019,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",293563.0,3668390.0,3961953.0
2019,"Konya, Karaman-TR52",63010.0,2422643.0,2485653.0
2019,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",464566.0,1143627.0,1608193.0
2019,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",270603.0,1485132.0,1755735.0
2019,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",551108.0,2568752.0,3119860.0
2019,"Mardin, Batman, Şırnak, Siirt-TRC3",422037.0,1885295.0,2307332.0
2019,"Samsun, Tokat, Çorum, Amasya-TR83",447005.0,2382948.0,2829953.0
2019,"Tekirdağ, Edirne, Kırklareli-TR21",209973.0,1621178.0,1831151.0
2019,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",397086.0,2293094.0,2690180.0
2019,"Van, Muş, Bitlis, Hakkari-TRB2",477271.0,1697401.0,2174672.0
2019,"Zonguldak, Karabük, Bartın-TR81",395585.0,647175.0,1042760.0
2019,İstanbul-TR10,0.0,15519267.0,15519267.0
2019,İzmir-TR31,0.0,4367251.0,4367251.0
2019,"Şanlıurfa, Diyarbakır-TRC2",0.0,3829967.0,3829967.0
2020,"Adana, Mersin-TR62",0.0,4127475.0,4127475.0
2020,Ankara-TR51,0.0,5663322.0,5663322.0
2020,"Antalya, Isparta, Burdur-TR61",199713.0,3055991.0,3255704.0
2020,"Aydın, Denizli, Muğla-TR32",0.0,3160772.0,3160772.0
2020,"Ağrı, Kars, Iğdır, Ardahan-TRA2",511397.0,606436.0,1117833.0
2020,"Balıkesir, Çanakkale-TR22",212346.0,1569487.0,1781833.0
2020,"Bursa, Eskişehir, Bilecik-TR41",39936.0,4169442.0,4209378.0
2020,"Erzurum, Erzincan, Bayburt-TRA1",85946.0,988674.0,1074620.0
2020,"Gaziantep, Adıyaman, Kilis-TRC1",224520.0,2651888.0,2876408.0
2020,"Hatay, Kahramanmaraş, Osmaniye-TR63",120752.0,3255287.0,3376039.0
2020,"Kastamonu, Çankırı, Sinop-TR82",277240.0,508025.0,785265.0
2020,"Kayseri, Sivas, Yozgat-TR72",301118.0,2175321.0,2476439.0
2020,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",291451.0,3734987.0,4026438.0
2020,"Konya, Karaman-TR52",62605.0,2442334.0,2504939.0
2020,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",455702.0,1156087.0,1611789.0
2020,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",260419.0,1498908.0,1759327.0
2020,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",543886.0,2589763.0,3133649.0
2020,"Mardin, Batman, Şırnak, Siirt-TRC3",419148.0,1924678.0,2343826.0
2020,"Samsun, Tokat, Çorum, Amasya-TR83",425004.0,2394556.0,2819560.0
2020,"Tekirdağ, Edirne, Kırklareli-TR21",204760.0,1645805.0,1850565.0
2020,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",382625.0,2294959.0,2677584.0
2020,"Van, Muş, Bitlis, Hakkari-TRB2",473127.0,1718840.0,2191967.0
2020,"Zonguldak, Karabük, Bartın-TR81",386626.0,647171.0,1033797.0
2020,İstanbul-TR10,0.0,15462452.0,15462452.0
2020,İzmir-TR31,0.0,4394694.0,4394694.0
2020,"Şanlıurfa, Diyarbakır-TRC2",0.0,3898687.0,3898687.0
2021,"Adana, Mersin-TR62",0.0,4154518.0,4154518.0
2021,Ankara-TR51,0.0,5747325.0,5747325.0
2021,"Antalya, Isparta, Burdur-TR61",195828.0,3143398.0,3339226.0
2021,"Aydın, Denizli, Muğla-TR32",0.0,3206228.0,3206228.0
2021,"Ağrı, Kars, Iğdır, Ardahan-TRA2",496079.0,607733.0,1103812.0
2021,"Balıkesir, Çanakkale-TR22",213268.0,1594618.0,1807886.0
2021,"Bursa, Eskişehir, Bilecik-TR41",38378.0,4236143.0,4274521.0
2021,"Erzurum, Erzincan, Bayburt-TRA1",83148.0,996138.0,1079286.0
2021,"Gaziantep, Adıyaman, Kilis-TRC1",217436.0,2690970.0,2908406.0
2021,"Hatay, Kahramanmaraş, Osmaniye-TR63",120567.0,3274455.0,3395022.0
2021,"Kastamonu, Çankırı, Sinop-TR82",272483.0,518032.0,790515.0
2021,"Kayseri, Sivas, Yozgat-TR72",294602.0,2194376.0,2488978.0
2021,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",291671.0,3814637.0,4106308.0
2021,"Konya, Karaman-TR52",61836.0,2474019.0,2535855.0
2021,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",444923.0,1174786.0,1619709.0
2021,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",257807.0,1505730.0,1763537.0
2021,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",536334.0,2616294.0,3152628.0
2021,"Mardin, Batman, Şırnak, Siirt-TRC3",412900.0,1954745.0,2367645.0
2021,"Samsun, Tokat, Çorum, Amasya-TR83",417613.0,2417841.0,2835454.0
2021,"Tekirdağ, Edirne, Kırklareli-TR21",201870.0,1690008.0,1891878.0
2021,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",371780.0,2321254.0,2693034.0
2021,"Van, Muş, Bitlis, Hakkari-TRB2",461098.0,1715640.0,2176738.0
2021,"Zonguldak, Karabük, Bartın-TR81",382021.0,658661.0,1040682.0
2021,İstanbul-TR10,0.0,15840900.0,15840900.0
2021,İzmir-TR31,0.0,4425789.0,4425789.0
2021,"Şanlıurfa, Diyarbakır-TRC2",0.0,3934393.0,3934393.0
2022,"Adana, Mersin-TR62",0.0,4190538.0,4190538.0
2022,Ankara-TR51,0.0,5782285.0,5782285.0
2022,"Antalya, Isparta, Burdur-TR61",191818.0,3215310.0,3407128.0
